filename	ontology_term
G83236_1x_rerun_RD12_01_20566.mzXML	red cherry tomato
G83236_1x_rerun_RD12_01_20566.mzXML	cherry tomato
G83236_1x_rerun_RD12_01_20566.mzXML	tomato
G83236_1x_rerun_RD12_01_20566.mzXML	berry
G83236_1x_rerun_RD12_01_20566.mzXML	fleshy fruit
G83236_1x_rerun_RD12_01_20566.mzXML	fruit
G83236_1x_rerun_RD12_01_20566.mzXML	plant
G72643_5x_BE4_01_18315.mzXML	stilton cheese
G72643_5x_BE4_01_18315.mzXML	cheese
G72643_5x_BE4_01_18315.mzXML	dairy
G72643_5x_BE4_01_18315.mzXML	animal
G72644_5x_BF7_01_18332.mzXML	stilton cheese
G72644_5x_BF7_01_18332.mzXML	cheese
G72644_5x_BF7_01_18332.mzXML	dairy
G72644_5x_BF7_01_18332.mzXML	animal
Amazon_10_2x_RA10_01_21606.mzXML	tupiro
Amazon_10_2x_RA10_01_21606.mzXML	berry
Amazon_10_2x_RA10_01_21606.mzXML	fleshy fruit
Amazon_10_2x_RA10_01_21606.mzXML	fruit
Amazon_10_2x_RA10_01_21606.mzXML	plant
G75585_BF6_01_18730.mzXML	turkey dark meat
G75585_BF6_01_18730.mzXML	turkey meat
G75585_BF6_01_18730.mzXML	turkey
G75585_BF6_01_18730.mzXML	poultry
G75585_BF6_01_18730.mzXML	animal
G75801_5x_BA10_01_19247.mzXML	horse, brown meat
G75801_5x_BA10_01_19247.mzXML	horse meat
G75801_5x_BA10_01_19247.mzXML	horse
G75801_5x_BA10_01_19247.mzXML	meat
G75801_5x_BA10_01_19247.mzXML	animal
G79595_5x_RD7_01_18132.mzXML	mackerel, eye lens
G79595_5x_RD7_01_18132.mzXML	mackerel
G79595_5x_RD7_01_18132.mzXML	fish_saltwater
G79595_5x_RD7_01_18132.mzXML	seafood
G79595_5x_RD7_01_18132.mzXML	animal
75236_1x_BD4_01_20744.mzXML	anchovy extract
75236_1x_BD4_01_20744.mzXML	anchovy
75236_1x_BD4_01_20744.mzXML	fish_saltwater
75236_1x_BD4_01_20744.mzXML	seafood
75236_1x_BD4_01_20744.mzXML	animal
G78873_1x_RB11_01_23277.mzXML	beef tenderloin
G78873_1x_RB11_01_23277.mzXML	beef meat
G78873_1x_RB11_01_23277.mzXML	beef
G78873_1x_RB11_01_23277.mzXML	cow
G78873_1x_RB11_01_23277.mzXML	meat
G78873_1x_RB11_01_23277.mzXML	animal
G86878_1x_RG5_01_23377.mzXML	red romaine lettuce
G86878_1x_RG5_01_23377.mzXML	lettuce
G86878_1x_RG5_01_23377.mzXML	vegetable
G86878_1x_RG5_01_23377.mzXML	vegetable/herb
G86878_1x_RG5_01_23377.mzXML	plant
G75648_5x_rerun_BG9_01_20103.mzXML	basmati rice
G75648_5x_rerun_BG9_01_20103.mzXML	white rice
G75648_5x_rerun_BG9_01_20103.mzXML	rice
G75648_5x_rerun_BG9_01_20103.mzXML	grain/grass
G75648_5x_rerun_BG9_01_20103.mzXML	fruit
G75648_5x_rerun_BG9_01_20103.mzXML	plant
G75198_1x_BC10_01_17288.mzXML	orange thyme
G75198_1x_BC10_01_17288.mzXML	thyme
G75198_1x_BC10_01_17288.mzXML	herb/spice
G75198_1x_BC10_01_17288.mzXML	vegetable/herb
G75198_1x_BC10_01_17288.mzXML	plant
G72723_BA12_01_18647.mzXML	prosciutto
G72723_BA12_01_18647.mzXML	pork
G72723_BA12_01_18647.mzXML	pig
G72723_BA12_01_18647.mzXML	meat
G72723_BA12_01_18647.mzXML	animal
G73945_1x_BC2_01_17281.mzXML	purple bean
G73945_1x_BC2_01_17281.mzXML	bean
G73945_1x_BC2_01_17281.mzXML	legume
G73945_1x_BC2_01_17281.mzXML	fruit
G73945_1x_BC2_01_17281.mzXML	plant
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	red grape
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	grape
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	berry
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	fleshy fruit
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	fruit
18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML	plant
G79276_1x_RG8_01_20353.mzXML	red grape
G79276_1x_RG8_01_20353.mzXML	grape
G79276_1x_RG8_01_20353.mzXML	berry
G79276_1x_RG8_01_20353.mzXML	fleshy fruit
G79276_1x_RG8_01_20353.mzXML	fruit
G79276_1x_RG8_01_20353.mzXML	plant
G79300_1x_rerun_10ul_RC2_01_18904.mzXML	dragonfruit
G79300_1x_rerun_10ul_RC2_01_18904.mzXML	berry
G79300_1x_rerun_10ul_RC2_01_18904.mzXML	fleshy fruit
G79300_1x_rerun_10ul_RC2_01_18904.mzXML	fruit
G79300_1x_rerun_10ul_RC2_01_18904.mzXML	plant
G79301_1x_RA2_01_18786.mzXML	dragonfruit
G79301_1x_RA2_01_18786.mzXML	berry
G79301_1x_RA2_01_18786.mzXML	fleshy fruit
G79301_1x_RA2_01_18786.mzXML	fruit
G79301_1x_RA2_01_18786.mzXML	plant
72717_5x_RG9_01_17512.mzXML	matcha green tea
72717_5x_RG9_01_17512.mzXML	tea
72717_5x_RG9_01_17512.mzXML	tea/infusion
72717_5x_RG9_01_17512.mzXML	vegetable/herb
72717_5x_RG9_01_17512.mzXML	plant
18NAVY28_v1_lun_1_BC2_01_39682.mzXML	ham
18NAVY28_v1_lun_1_BC2_01_39682.mzXML	pork
18NAVY28_v1_lun_1_BC2_01_39682.mzXML	pig
18NAVY28_v1_lun_1_BC2_01_39682.mzXML	meat
18NAVY28_v1_lun_1_BC2_01_39682.mzXML	animal
18NAVY28_v2_lun_2_BG6_01_39701.mzXML	ham
18NAVY28_v2_lun_2_BG6_01_39701.mzXML	pork
18NAVY28_v2_lun_2_BG6_01_39701.mzXML	pig
18NAVY28_v2_lun_2_BG6_01_39701.mzXML	meat
18NAVY28_v2_lun_2_BG6_01_39701.mzXML	animal
G75654_5x_rerun_BH4_01_19404.mzXML	ham
G75654_5x_rerun_BH4_01_19404.mzXML	pork
G75654_5x_rerun_BH4_01_19404.mzXML	pig
G75654_5x_rerun_BH4_01_19404.mzXML	meat
G75654_5x_rerun_BH4_01_19404.mzXML	animal
G75662_1x_RD1_01_23324.mzXML	ham
G75662_1x_RD1_01_23324.mzXML	pork
G75662_1x_RD1_01_23324.mzXML	pig
G75662_1x_RD1_01_23324.mzXML	meat
G75662_1x_RD1_01_23324.mzXML	animal
G83255_1x_BH7_01_23235.mzXML	ham
G83255_1x_BH7_01_23235.mzXML	pork
G83255_1x_BH7_01_23235.mzXML	pig
G83255_1x_BH7_01_23235.mzXML	meat
G83255_1x_BH7_01_23235.mzXML	animal
G86819_1x_RB12_01_23278.mzXML	ham
G86819_1x_RB12_01_23278.mzXML	pork
G86819_1x_RB12_01_23278.mzXML	pig
G86819_1x_RB12_01_23278.mzXML	meat
G86819_1x_RB12_01_23278.mzXML	animal
G87339_RF7_01_26181.mzXML	ham
G87339_RF7_01_26181.mzXML	pork
G87339_RF7_01_26181.mzXML	pig
G87339_RF7_01_26181.mzXML	meat
G87339_RF7_01_26181.mzXML	animal
G87340_RF8_01_26182.mzXML	ham
G87340_RF8_01_26182.mzXML	pork
G87340_RF8_01_26182.mzXML	pig
G87340_RF8_01_26182.mzXML	meat
G87340_RF8_01_26182.mzXML	animal
G87370_RB10_01_26091.mzXML	ham
G87370_RB10_01_26091.mzXML	pork
G87370_RB10_01_26091.mzXML	pig
G87370_RB10_01_26091.mzXML	meat
G87370_RB10_01_26091.mzXML	animal
G87587_1x_BA4_01_26541.mzXML	ham
G87587_1x_BA4_01_26541.mzXML	pork
G87587_1x_BA4_01_26541.mzXML	pig
G87587_1x_BA4_01_26541.mzXML	meat
G87587_1x_BA4_01_26541.mzXML	animal
G72511_1x_10ul_BD9_01_20293.mzXML	sumac
G72511_1x_10ul_BD9_01_20293.mzXML	berry
G72511_1x_10ul_BD9_01_20293.mzXML	fleshy fruit
G72511_1x_10ul_BD9_01_20293.mzXML	fruit
G72511_1x_10ul_BD9_01_20293.mzXML	plant
G72721_1x_BF6_01_20218.mzXML	mustard
G72721_1x_BF6_01_20218.mzXML	grain/grass
G72721_1x_BF6_01_20218.mzXML	fruit
G72721_1x_BF6_01_20218.mzXML	plant
G86811_10x_1ul_RE2_01_23209.mzXML	mustard
G86811_10x_1ul_RE2_01_23209.mzXML	grain/grass
G86811_10x_1ul_RE2_01_23209.mzXML	fruit
G86811_10x_1ul_RE2_01_23209.mzXML	plant
G87308_RC2_01_26097.mzXML	red cabbage
G87308_RC2_01_26097.mzXML	cabbage
G87308_RC2_01_26097.mzXML	flower
G87308_RC2_01_26097.mzXML	vegetable/herb
G87308_RC2_01_26097.mzXML	plant
G75612_rerun_BB9_01_19074.mzXML	fava bean
G75612_rerun_BB9_01_19074.mzXML	bean
G75612_rerun_BB9_01_19074.mzXML	legume
G75612_rerun_BB9_01_19074.mzXML	fruit
G75612_rerun_BB9_01_19074.mzXML	plant
G87328_RD12_01_26158.mzXML	fava bean
G87328_RD12_01_26158.mzXML	bean
G87328_RD12_01_26158.mzXML	legume
G87328_RD12_01_26158.mzXML	fruit
G87328_RD12_01_26158.mzXML	plant
G87377_RD9_01_26119.mzXML	fava bean
G87377_RD9_01_26119.mzXML	bean
G87377_RD9_01_26119.mzXML	legume
G87377_RD9_01_26119.mzXML	fruit
G87377_RD9_01_26119.mzXML	plant
78821_1x_BE6_01_17446.mzXML	green olive
78821_1x_BE6_01_17446.mzXML	olive
78821_1x_BE6_01_17446.mzXML	drupe
78821_1x_BE6_01_17446.mzXML	fleshy fruit
78821_1x_BE6_01_17446.mzXML	fruit
78821_1x_BE6_01_17446.mzXML	plant
G79690_5x_RD12_01_19515.mzXML	green olive
G79690_5x_RD12_01_19515.mzXML	olive
G79690_5x_RD12_01_19515.mzXML	drupe
G79690_5x_RD12_01_19515.mzXML	fleshy fruit
G79690_5x_RD12_01_19515.mzXML	fruit
G79690_5x_RD12_01_19515.mzXML	plant
G83322_5x_rerun_RA11_01_21520.mzXML	pomegranate
G83322_5x_rerun_RA11_01_21520.mzXML	berry
G83322_5x_rerun_RA11_01_21520.mzXML	fleshy fruit
G83322_5x_rerun_RA11_01_21520.mzXML	fruit
G83322_5x_rerun_RA11_01_21520.mzXML	plant
G87401_RC3_01_26098.mzXML	pomegranate
G87401_RC3_01_26098.mzXML	berry
G87401_RC3_01_26098.mzXML	fleshy fruit
G87401_RC3_01_26098.mzXML	fruit
G87401_RC3_01_26098.mzXML	plant
G73684_5x_BD7_01_18304.mzXML	natural cheese
G73684_5x_BD7_01_18304.mzXML	cheese
G73684_5x_BD7_01_18304.mzXML	dairy
G73684_5x_BD7_01_18304.mzXML	animal
G75758_1x_10ul_RD5_01_19816.mzXML	vitamin E thiamine
G75758_1x_10ul_RD5_01_19816.mzXML	supplement
G78916_RF2_01_17604.mzXML	red rice
G78916_RF2_01_17604.mzXML	rice
G78916_RF2_01_17604.mzXML	grain/grass
G78916_RF2_01_17604.mzXML	fruit
G78916_RF2_01_17604.mzXML	plant
G79205_p19_g3_rerun_GB6_01_21715.mzXML	turkey outer surface
G79205_p19_g3_rerun_GB6_01_21715.mzXML	turkey meat
G79205_p19_g3_rerun_GB6_01_21715.mzXML	turkey
G79205_p19_g3_rerun_GB6_01_21715.mzXML	poultry
G79205_p19_g3_rerun_GB6_01_21715.mzXML	animal
G72713_10x_BF9_01_17857.mzXML	brie cheese
G72713_10x_BF9_01_17857.mzXML	cheese
G72713_10x_BF9_01_17857.mzXML	dairy
G72713_10x_BF9_01_17857.mzXML	animal
G74022_5x_BG11_01_18395.mzXML	brie cheese
G74022_5x_BG11_01_18395.mzXML	cheese
G74022_5x_BG11_01_18395.mzXML	dairy
G74022_5x_BG11_01_18395.mzXML	animal
G72711_10x_BH9_01_17937.mzXML	cantelope melon
G72711_10x_BH9_01_17937.mzXML	melon
G72711_10x_BH9_01_17937.mzXML	pepo
G72711_10x_BH9_01_17937.mzXML	fleshy fruit
G72711_10x_BH9_01_17937.mzXML	fruit
G72711_10x_BH9_01_17937.mzXML	plant
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	cantelope melon
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	melon
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	pepo
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	fleshy fruit
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	fruit
G75677_1x_10ul_rerun_RH9_01_19937.mzXML	plant
G78979_1x_rerun_RA7_01_18845.mzXML	cantelope melon
G78979_1x_rerun_RA7_01_18845.mzXML	melon
G78979_1x_rerun_RA7_01_18845.mzXML	pepo
G78979_1x_rerun_RA7_01_18845.mzXML	fleshy fruit
G78979_1x_rerun_RA7_01_18845.mzXML	fruit
G78979_1x_rerun_RA7_01_18845.mzXML	plant
G86899_1x_RF1_01_23358.mzXML	cantelope melon
G86899_1x_RF1_01_23358.mzXML	melon
G86899_1x_RF1_01_23358.mzXML	pepo
G86899_1x_RF1_01_23358.mzXML	fleshy fruit
G86899_1x_RF1_01_23358.mzXML	fruit
G86899_1x_RF1_01_23358.mzXML	plant
G79610_5x_RG4_01_18189.mzXML	smelt, skin
G79610_5x_RG4_01_18189.mzXML	smelt
G79610_5x_RG4_01_18189.mzXML	fish_saltwater
G79610_5x_RG4_01_18189.mzXML	seafood
G79610_5x_RG4_01_18189.mzXML	animal
72537_1x_BG5_01_17486.mzXML	orange cherry tomato
72537_1x_BG5_01_17486.mzXML	cherry tomato
72537_1x_BG5_01_17486.mzXML	tomato
72537_1x_BG5_01_17486.mzXML	berry
72537_1x_BG5_01_17486.mzXML	fleshy fruit
72537_1x_BG5_01_17486.mzXML	fruit
72537_1x_BG5_01_17486.mzXML	plant
G75110_1x_RC7_01_23410.mzXML	african catfish
G75110_1x_RC7_01_23410.mzXML	catfish
G75110_1x_RC7_01_23410.mzXML	fish_freshwater
G75110_1x_RC7_01_23410.mzXML	seafood
G75110_1x_RC7_01_23410.mzXML	animal
G87378_rerun_RA2_01_26200.mzXML	hay
G87378_rerun_RA2_01_26200.mzXML	vegetable
G87378_rerun_RA2_01_26200.mzXML	vegetable/herb
G87378_rerun_RA2_01_26200.mzXML	plant
G72478_1x_BF6_01_17324.mzXML	ginger
G72478_1x_BF6_01_17324.mzXML	vegetable
G72478_1x_BF6_01_17324.mzXML	vegetable/herb
G72478_1x_BF6_01_17324.mzXML	plant
G86794_1x_RH2_01_23390.mzXML	ginger
G86794_1x_RH2_01_23390.mzXML	vegetable
G86794_1x_RH2_01_23390.mzXML	vegetable/herb
G86794_1x_RH2_01_23390.mzXML	plant
G87310_RB11_01_26092.mzXML	ginger
G87310_RB11_01_26092.mzXML	vegetable
G87310_RB11_01_26092.mzXML	vegetable/herb
G87310_RB11_01_26092.mzXML	plant
G87333_RA11_01_26077.mzXML	ginger
G87333_RA11_01_26077.mzXML	vegetable
G87333_RA11_01_26077.mzXML	vegetable/herb
G87333_RA11_01_26077.mzXML	plant
G86725_10x_RG11_01_23223.mzXML	garlic powder
G86725_10x_RG11_01_23223.mzXML	herb/spice
G86725_10x_RG11_01_23223.mzXML	vegetable/herb
G86725_10x_RG11_01_23223.mzXML	plant
G86822_1x_RF8_01_23366.mzXML	garlic powder
G86822_1x_RF8_01_23366.mzXML	herb/spice
G86822_1x_RF8_01_23366.mzXML	vegetable/herb
G86822_1x_RF8_01_23366.mzXML	plant
G75793_5x_BF9_01_19336.mzXML	lizard body
G75793_5x_BF9_01_19336.mzXML	lizard
G75793_5x_BF9_01_19336.mzXML	reptile
G75793_5x_BF9_01_19336.mzXML	animal
G79676_5x_RD10_01_19513.mzXML	salami
G79676_5x_RD10_01_19513.mzXML	pork
G79676_5x_RD10_01_19513.mzXML	pig
G79676_5x_RD10_01_19513.mzXML	meat
G79676_5x_RD10_01_19513.mzXML	animal
G79677_5x_RE11_01_19530.mzXML	salami
G79677_5x_RE11_01_19530.mzXML	pork
G79677_5x_RE11_01_19530.mzXML	pig
G79677_5x_RE11_01_19530.mzXML	meat
G79677_5x_RE11_01_19530.mzXML	animal
G79678_5x_RD11_01_19514.mzXML	salami
G79678_5x_RD11_01_19514.mzXML	pork
G79678_5x_RD11_01_19514.mzXML	pig
